2022.09.1
cid:3239183, bit_rank:3, bit:1152, score:0.0001, score_perc:0.0027, label:0, frag1:[NH] frag2:[NH;D2], radius:0
cid:3239183, bit_rank:4, bit:935, score:0.0001, score_perc:0.0027, label:0, frag1:[N] frag2:[N;R;D3], radius:0
cid:3239183, bit_rank:8, bit:1480, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2](-[CH2])-[N] frag2:[CH2;R;D2](-[CH2;R;D2])-[N;R;D3], radius:1
cid:3239183, bit_rank:12, bit:926, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:3239183, bit_rank:20, bit:1199, score:0.0001, score_perc:0.0027, label:0, frag1:[cH](:[cH]:[c]):[cH]:[cH] frag2:[cH;R;D2](:[cH;R;D2]:[c;R;D3]):[cH;R;D2]:[cH;R;D2], radius:2
cid:3239183, bit_rank:22, bit:80, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:1226685, bit_rank:0, bit:1917, score:0.0001, score_perc:0.0027, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:1226685, bit_rank:2, bit:807, score:0.0001, score_perc:0.0027, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:1226685, bit_rank:3, bit:1152, score:0.0001, score_perc:0.0027, label:0, frag1:[NH] frag2:[NH;D2], radius:0
cid:1226685, bit_rank:4, bit:935, score:0.0001, score_perc:0.0027, label:0, frag1:[N] frag2:[N;R;D3], radius:0
cid:1226685, bit_rank:5, bit:1816, score:0.0001, score_perc:0.0027, label:0, frag1:[NH](-[C])-[c] frag2:[NH;D2](-[C;D3])-[c;R;D3], radius:1
cid:1226685, bit_rank:8, bit:1480, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2](-[CH2])-[N] frag2:[CH2;R;D2](-[CH2;R;D2])-[N;R;D3], radius:1
cid:1226685, bit_rank:12, bit:926, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:1226685, bit_rank:18, bit:1722, score:0.0001, score_perc:0.0027, label:0, frag1:[CH3]-[c] frag2:[CH3;D1]-[c;R;D3], radius:1
cid:1226685, bit_rank:36, bit:191, score:0.0001, score_perc:0.0027, label:0, frag1:[c](:[cH])(:[cH])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[cH;R;D2])-[NH;D2], radius:1
cid:6916239, bit_rank:0, bit:1917, score:0.0001, score_perc:0.0027, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:6916239, bit_rank:2, bit:807, score:0.0001, score_perc:0.0027, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:6916239, bit_rank:3, bit:1152, score:0.0001, score_perc:0.0027, label:0, frag1:[NH] frag2:[NH;D2], radius:0
cid:6916239, bit_rank:12, bit:926, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:6916239, bit_rank:17, bit:694, score:0.0001, score_perc:0.0027, label:0, frag1:[CH] frag2:[CH;D2], radius:0
cid:6916239, bit_rank:20, bit:1199, score:0.0001, score_perc:0.0027, label:0, frag1:[cH](:[cH]:[c]):[cH]:[cH] frag2:[cH;R;D2](:[cH;R;D2]:[c;R;D3]):[cH;R;D2]:[cH;R;D2], radius:2
cid:6916239, bit_rank:22, bit:80, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:2812913, bit_rank:0, bit:1917, score:0.0001, score_perc:0.0027, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:2812913, bit_rank:2, bit:807, score:0.0001, score_perc:0.0027, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:2812913, bit_rank:3, bit:1152, score:0.0001, score_perc:0.0027, label:0, frag1:[NH] frag2:[NH;D2], radius:0
cid:2812913, bit_rank:5, bit:1816, score:0.0001, score_perc:0.0027, label:0, frag1:[NH](-[c])-[C] frag2:[NH;D2](-[c;R;D3])-[C;D3], radius:1
cid:2812913, bit_rank:12, bit:926, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:2812913, bit_rank:18, bit:1722, score:0.0001, score_perc:0.0027, label:0, frag1:[CH3]-[c] frag2:[CH3;D1]-[c;R;D3], radius:1
cid:16196996, bit_rank:0, bit:1917, score:0.0001, score_perc:0.0027, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:16196996, bit_rank:1, bit:378, score:0.0001, score_perc:0.0027, label:0, frag1:[n] frag2:[n;R;D2], radius:0
cid:16196996, bit_rank:2, bit:807, score:0.0001, score_perc:0.0027, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:16196996, bit_rank:3, bit:1152, score:0.0001, score_perc:0.0027, label:0, frag1:[NH] frag2:[NH;D2], radius:0
cid:16196996, bit_rank:12, bit:926, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:16196996, bit_rank:20, bit:1199, score:0.0001, score_perc:0.0027, label:0, frag1:[cH](:[cH]:[c]):[cH]:[cH] frag2:[cH;R;D2](:[cH;R;D2]:[c;R;D3]):[cH;R;D2]:[cH;R;D2], radius:2
cid:16196996, bit_rank:22, bit:80, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;D2], radius:0
16196996 rank:24 bit:1982 failed
cid:4125145, bit_rank:0, bit:1917, score:0.0001, score_perc:0.0027, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:4125145, bit_rank:2, bit:807, score:0.0001, score_perc:0.0027, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:4125145, bit_rank:3, bit:1152, score:0.0001, score_perc:0.0027, label:0, frag1:[NH] frag2:[NH;D2], radius:0
cid:4125145, bit_rank:4, bit:935, score:0.0001, score_perc:0.0027, label:0, frag1:[N] frag2:[N;R;D3], radius:0
cid:4125145, bit_rank:8, bit:1480, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2](-[CH2])-[N] frag2:[CH2;R;D2](-[CH2;R;D2])-[N;R;D3], radius:1
cid:4125145, bit_rank:10, bit:41, score:0.0001, score_perc:0.0027, label:0, frag1:[C](-[CH2])(-[NH])=[O] frag2:[C;D3](-[CH2;D2])(-[NH;D2])=[O;D1], radius:1
cid:4125145, bit_rank:12, bit:926, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:4125145, bit_rank:20, bit:1199, score:0.0001, score_perc:0.0027, label:0, frag1:[cH](:[cH]:[c]):[cH]:[cH] frag2:[cH;R;D2](:[cH;R;D2]:[c;R;D3]):[cH;R;D2]:[cH;R;D2], radius:2
cid:4125145, bit_rank:22, bit:80, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:654919, bit_rank:0, bit:1917, score:0.0001, score_perc:0.0027, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:654919, bit_rank:2, bit:807, score:0.0001, score_perc:0.0027, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:654919, bit_rank:3, bit:1152, score:0.0001, score_perc:0.0027, label:0, frag1:[NH] frag2:[NH;D2], radius:0
cid:654919, bit_rank:4, bit:935, score:0.0001, score_perc:0.0027, label:0, frag1:[N] frag2:[N;R;D3], radius:0
cid:654919, bit_rank:5, bit:1816, score:0.0001, score_perc:0.0027, label:0, frag1:[NH](-[c])-[C] frag2:[NH;D2](-[c;R;D3])-[C;D3], radius:1
cid:654919, bit_rank:8, bit:1480, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2](-[CH2])-[N] frag2:[CH2;R;D2](-[CH2;R;D2])-[N;R;D3], radius:1
cid:654919, bit_rank:12, bit:926, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:654919, bit_rank:36, bit:191, score:0.0001, score_perc:0.0027, label:0, frag1:[c](:[cH])(:[cH])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[cH;R;D2])-[NH;D2], radius:1
cid:3621152, bit_rank:0, bit:1917, score:0.0001, score_perc:0.0027, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:3621152, bit_rank:1, bit:378, score:0.0001, score_perc:0.0027, label:0, frag1:[n] frag2:[n;R;D2], radius:0
cid:3621152, bit_rank:2, bit:807, score:0.0001, score_perc:0.0027, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:3621152, bit_rank:3, bit:1152, score:0.0001, score_perc:0.0027, label:0, frag1:[NH] frag2:[NH;D2], radius:0
cid:3621152, bit_rank:4, bit:935, score:0.0001, score_perc:0.0027, label:0, frag1:[N] frag2:[N;R;D3], radius:0
cid:3621152, bit_rank:5, bit:1816, score:0.0001, score_perc:0.0027, label:0, frag1:[NH](-[C])-[c] frag2:[NH;D2](-[C;D3])-[c;R;D3], radius:1
cid:3621152, bit_rank:8, bit:1480, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2](-[CH2])-[N] frag2:[CH2;R;D2](-[CH2;R;D2])-[N;R;D3], radius:1
cid:3621152, bit_rank:10, bit:41, score:0.0001, score_perc:0.0027, label:0, frag1:[C](-[CH2])(-[NH])=[O] frag2:[C;D3](-[CH2;D2])(-[NH;D2])=[O;D1], radius:1
3621152 rank:11 bit:25 failed
cid:3621152, bit_rank:12, bit:926, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:3621152, bit_rank:22, bit:80, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:3621152, bit_rank:36, bit:191, score:0.0001, score_perc:0.0027, label:0, frag1:[c](:[cH])(:[cH])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[cH;R;D2])-[NH;D2], radius:1
cid:3621152, bit_rank:39, bit:1455, score:0.0001, score_perc:0.0027, label:0, frag1:[C](=[O])(-[CH2]-[S])-[NH]-[c] frag2:[C;D3](=[O;D1])(-[CH2;D2]-[S;D2])-[NH;D2]-[c;R;D3], radius:2
cid:2518178, bit_rank:0, bit:1917, score:0.0001, score_perc:0.0027, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:2518178, bit_rank:1, bit:378, score:0.0001, score_perc:0.0027, label:0, frag1:[n] frag2:[n;R;D2], radius:0
cid:2518178, bit_rank:2, bit:807, score:0.0001, score_perc:0.0027, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:2518178, bit_rank:3, bit:1152, score:0.0001, score_perc:0.0027, label:0, frag1:[NH] frag2:[NH;D2], radius:0
cid:2518178, bit_rank:4, bit:935, score:0.0001, score_perc:0.0027, label:0, frag1:[N] frag2:[N;R;D3], radius:0
cid:2518178, bit_rank:8, bit:1480, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2](-[CH2])-[N] frag2:[CH2;R;D2](-[CH2;R;D2])-[N;R;D3], radius:1
2518178 rank:11 bit:25 failed
cid:2518178, bit_rank:12, bit:926, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:2518178, bit_rank:22, bit:80, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:2024626, bit_rank:0, bit:1917, score:0.0001, score_perc:0.0027, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:2024626, bit_rank:2, bit:807, score:0.0001, score_perc:0.0027, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:2024626, bit_rank:3, bit:1152, score:0.0001, score_perc:0.0027, label:0, frag1:[NH] frag2:[NH;D2], radius:0
cid:2024626, bit_rank:4, bit:935, score:0.0001, score_perc:0.0027, label:0, frag1:[N] frag2:[N;R;D3], radius:0
cid:2024626, bit_rank:5, bit:1816, score:0.0001, score_perc:0.0027, label:0, frag1:[NH](-[c])-[C] frag2:[NH;D2](-[c;R;D3])-[C;D3], radius:1
